name,acronym,id,structure_id_path,parent_structure_id
"'""Ammon''s horn""'",CA,375,/997/8/567/688/695/1089/1080/375/,1080
3rd Ventricle,3V,129,/997/73/129/,73
4th Ventricle,4V,145,/997/73/145/,73
Abducens nucleus,6N,653,/997/8/343/1065/354/370/653/,370
"Abducens nucleus, retractor bulbi part",6RB,2228,/997/8/343/1065/354/370/2228/,370
Accessory neuosecretory nuclei,ANS,2032,/997/8/343/1129/549/856/571/2032/,571
Accessory olfactory bulb,AOB,151,/997/8/567/688/695/698/151/,698
Accessory supraoptic group,ASO,332,/997/8/343/1129/1097/157/332/,157
Accumbens nucleus,Acb,56,/997/8/567/623/477/493/56/,493
"Accumbens nucleus, core region",AcbC,2074,/997/8/567/623/477/493/56/2074/,56
"Accumbens nucleus, shell region",AcbSh,2006,/997/8/567/623/477/493/56/2006/,56
Ad3 adrenaline cells,Ad3,2266,/997/8/343/1065/354/370/2266/,370
Agranular insular cortex,AI,95,/997/8/567/688/695/315/95/,315
"Agranular insular cortex, dorsal part",AID,104,/997/8/567/688/695/315/95/104/,95
"Agranular insular cortex, dorsal part, layer1",AID-1,996,/997/8/567/688/695/315/95/104/996/,104
"Agranular insular cortex, dorsal part, layer2/3",AID-2/3,328,/997/8/567/688/695/315/95/104/328/,104
"Agranular insular cortex, dorsal part, layer5",AID-5,1101,/997/8/567/688/695/315/95/104/1101/,104
"Agranular insular cortex, dorsal part, layer6a",AID-6a,783,/997/8/567/688/695/315/95/104/783/,104
"Agranular insular cortex, dorsal part, layer6b",AID-6b,831,/997/8/567/688/695/315/95/104/831/,104
"Agranular insular cortex, layer 1",AI1,2331,/997/8/567/688/695/315/95/2331/,95
"Agranular insular cortex, layer 2/3",AI2/3,2332,/997/8/567/688/695/315/95/2332/,95
"Agranular insular cortex, layer 5",AI5,2333,/997/8/567/688/695/315/95/2333/,95
"Agranular insular cortex, posterior part",AIP,111,/997/8/567/688/695/315/95/111/,95
"Agranular insular cortex, posterior part, layer1",AIP-1,120,/997/8/567/688/695/315/95/111/120/,111
"Agranular insular cortex, posterior part, layer2/3",AIP-2/3,163,/997/8/567/688/695/315/95/111/163/,111
"Agranular insular cortex, posterior part, layer5",AIP-5,344,/997/8/567/688/695/315/95/111/344/,111
"Agranular insular cortex, posterior part, layer6a",AIP-6a,314,/997/8/567/688/695/315/95/111/314/,111
"Agranular insular cortex, ventral part",AIV,119,/997/8/567/688/695/315/95/119/,95
"Agranular insular cortex, ventral part, layer1",AIV-1,704,/997/8/567/688/695/315/95/119/704/,119
"Agranular insular cortex, ventral part, layer2/3",AIV-2/3,694,/997/8/567/688/695/315/95/119/694/,119
"Agranular insular cortex, ventral part, layer5",AIV-5,800,/997/8/567/688/695/315/95/119/800/,119
"Agranular insular cortex, ventral part, layer6a",AIV-6a,675,/997/8/567/688/695/315/95/119/675/,119
Ambiguus nucleus,Amb,2472,/997/8/343/1065/354/370/2472/,370
"Ambiguus nucleus, compact part",AmbC,135,/997/8/343/1065/354/370/2472/135/,2472
"Ambiguus nucleus, loose part",AmbL,2277,/997/8/343/1065/354/370/2472/2277/,2472
Amygdalohippocampal area,AHi,780,/997/8/567/688/703/780/,703
"Amygdalohippocampal area, anterolateral part",AHiAL,2086,/997/8/567/688/703/780/2086/,780
"Amygdalohippocampal area, posterolateral",AHiPL,2088,/997/8/567/688/703/780/2088/,780
"Amygdalohippocampal area, posteromedial part",AHiPM,2087,/997/8/567/688/703/780/2087/,780
Amygdalopiriform transition area,Apir,566,/997/8/567/688/695/698/566/,698
Amygdalostriatal transition area,ASt ,2050,/997/8/567/623/477/2050/,477
Angular thalamic nucleus,Ang,2055,/997/8/343/1129/549/856/138/1020/2055/,1020
Anterior amygdaloid area,AA,23,/997/8/567/623/477/278/23/,278
Anterior commissural nucleus,AC,2306,/997/8/343/1129/1097/141/523/2306/,523
Anterior cortical amygdaloid nucleus,ACo ,639,/997/8/567/688/695/698/631/639/,631
"Anterior cortical amygdaloid nucleus, layer1",ACo-1,192,/997/8/567/688/695/698/631/639/192/,639
"Anterior cortical amygdaloid nucleus, layer2",ACo-2,200,/997/8/567/688/695/698/631/639/200/,639
"Anterior cortical amygdaloid nucleus, layer3",ACo-3,208,/997/8/567/688/695/698/631/639/208/,639
Anterior group of the dorsal thalamus,ATN,239,/997/8/343/1129/549/856/239/,856
"Anterior hypothalamic area, anterior part",AHA,700,/997/8/343/1129/1097/467/88/700/,88
"Anterior hypothalamic area, central part",AHC,708,/997/8/343/1129/1097/467/88/708/,88
"Anterior hypothalamic area, posterior part",AHP,724,/997/8/343/1129/1097/467/88/724/,88
Anterior hypothalamic nucleus,AHN,88,/997/8/343/1129/1097/467/88/,467
Anterior olfactory area,AO,159,/997/8/567/688/695/698/159/,698
Anterior olfactory area dorsal part,AOD,167,/997/8/567/688/695/698/159/167/,159
Anterior olfactory area external part,AOE,175,/997/8/567/688/695/698/159/175/,159
Anterior olfactory area lateral part,AOL,183,/997/8/567/688/695/698/159/183/,159
Anterior olfactory area layer 1,AO1,160,/997/8/567/688/695/698/159/160/,159
Anterior olfactory area medial part,AOM,191,/997/8/567/688/695/698/159/191/,159
"Anterior olfactory area, posterior part",AOP,2319,/997/8/567/688/695/698/159/199/2319/,199
"Anterior olfactory area, posteroventral part",AOP/AOV,199,/997/8/567/688/695/698/159/199/,159
"Anterior olfactory area, ventral part",AOV,2318,/997/8/567/688/695/698/159/199/2318/,199
Anterior perifornical nucleus,APF,2026,/997/8/343/1129/1097/157/38/94/55/2026/,55
Anterior pretectal nucleus,APT,215,/997/8/343/313/323/1100/215/,1100
"Anterior pretectal nucleus, dorsal part",APTD,2099,/997/8/343/313/323/1100/215/2099/,215
"Anterior pretectal nucleus, ventral part",APTV,2100,/997/8/343/313/323/1100/215/2100/,215
Anterior tegmental nucleus,ATg,231,/997/8/343/313/323/231/,323
Anterodorsal thalamic nucleus,AD,64,/997/8/343/1129/549/856/239/64/,239
Anteromedial thalamic nucleus,AM,1096,/997/8/343/1129/549/856/239/1096/,239
"Anteromedial thalamic nucleus, ventral part",AMV,1104,/997/8/343/1129/549/856/239/1096/1104/,1096
"Anterovent thalamic nucleus, dorsomedial part",AVDM,2036,/997/8/343/1129/549/856/239/255/2036/,255
Anteroventral periventricular nucleus,AVPe,272,/997/8/343/1129/1097/141/272/,141
Anteroventral thalamic nucleus,AV,255,/997/8/343/1129/549/856/239/255/,239
"Anteroventral thalamic nucleus, ventrolateral part",AVVL,2035,/997/8/343/1129/549/856/239/255/2035/,255
Arcuate hypothalamic nucleus,Arc,223,/997/8/343/1129/1097/157/223/,157
"Arcuate hypothalamic nucleus, dorsal part",ArcD,2061,/997/8/343/1129/1097/157/223/2061/,223
"Arcuate hypothalamic nucleus, lateral part",ArcL,2062,/997/8/343/1129/1097/157/223/2062/,223
"Arcuate hypothalamic nucleus, lateroposterior part",ArcLP,2104,/997/8/343/1129/1097/157/223/2104/,223
"Arcuate hypothalamic nucleus, medial part",ArcM,2095,/997/8/343/1129/1097/157/223/2095/,223
"Arcuate hypothalamic nucleus, medial posterior part",ArcMP,2103,/997/8/343/1129/1097/157/223/2103/,223
Area postrema,AP,207,/997/8/343/1065/354/386/207/,386
Area subpostrema,SubP,2274,/997/8/343/1065/354/386/2274/,386
Auditory cortex,Au,247,/997/8/567/688/695/315/247/,315
B9 serotonin cells,B9,2166,/997/8/343/1065/771/2166/,771
Barrington nucleus,Bar,280,/997/8/343/1065/771/987/280/,987
"Barrington nucleus, dorsal part",Bard,2459,/997/8/343/1065/771/987/280/2459/,280
"Barrington nucleus, ventral part",Barv,2460,/997/8/343/1065/771/987/280/2460/,280
Basal nucleus (Meynert),B,2028,/997/8/567/623/803/2028/,803
Basic cell groups and regions,grey,8,/997/8/,997
Basolateral amygdalar nucleus,BL,295,/997/8/567/688/703/295/,703
"Basolateral amygdaloid nucleus, anterior part",BLA,303,/997/8/567/688/703/295/303/,295
"Basolateral amygdaloid nucleus, posterior part",BLP,311,/997/8/567/688/703/295/311/,295
"Basolateral amygdaloid nucleus, ventral part",BLV,451,/997/8/567/688/703/295/451/,295
Basomedial amygdalar nucleus,BM,319,/997/8/567/688/703/319/,703
"Basomedial amygdaloid nucleus, anterior part",BMA,327,/997/8/567/688/703/319/327/,319
"Basomedial amygdaloid nucleus, posterior part",BMP,334,/997/8/567/688/703/319/334/,319
Bed nuclei of the stria terminalis,ST,351,/997/8/567/623/803/809/351/,809
"Bed nuclei of the stria terminalis, anterior division",STa,359,/997/8/567/623/803/809/351/359/,351
"Bed nuclei of the stria terminalis, fusiform nucleus",Fu,513,/997/8/567/623/803/809/351/359/513/,359
"Bed nuclei of the stria terminalis, medial division",STm,2359,/997/8/567/623/803/809/351/2359/,351
"Bed nuclei of the stria terminalis, posterior division",STp,367,/997/8/567/623/803/809/351/367/,351
"Bed nuclei of the stria terminialis, lateral division",STl,2360,/997/8/567/623/803/809/351/2360/,351
Bed nucleus of the accessory olfactory tract,BAOT,292,/997/8/567/623/477/278/292/,278
Bed nucleus of the anterior commissure,BAC,287,/997/8/567/623/803/809/287/,809
"Bed nucleus of the stria terminalis, intraamygdaloid",STIA,2049,/997/8/567/623/803/809/351/2049/,351
"Bed nucleus of the stria terminalis, lateral division, dorsal part",STLD,554,/997/8/567/623/803/809/351/359/554/,359
"Bed nucleus of the stria terminalis, lateral division, intermediate part",STLI,2022,/997/8/567/623/803/809/351/2360/2022/,2360
"Bed nucleus of the stria terminalis, lateral division, juxtacapsular part",STLJ,546,/997/8/567/623/803/809/351/359/546/,359
"Bed nucleus of the stria terminalis, lateral division, ventral part ",STLV,2014,/997/8/567/623/803/809/351/2360/2014/,2360
"Bed nucleus of the stria terminalis, medial division, anterior part",STMA,498,/997/8/567/623/803/809/351/359/498/,359
"Bed nucleus of the stria terminalis, medial division, anterolateral part",STMAL,537,/997/8/567/623/803/809/351/359/537/,359
"Bed nucleus of the stria terminalis, medial division, anteromedial part",STMAM,578,/997/8/567/623/803/809/351/367/578/,367
"Bed nucleus of the stria terminalis, medial division, posterointermediate part",STMPI,585,/997/8/567/623/803/809/351/367/585/,367
"Bed nucleus of the stria terminalis, medial division, posterolateral part",STMPL,529,/997/8/567/623/803/809/351/359/529/,359
"Bed nucleus of the stria terminalis, medial division, posteromedial part",STMPM,2025,/997/8/567/623/803/809/351/2359/2025/,2359
"Bed nucleus of the stria terminalis, medial division, ventral part",STMV,2010,/997/8/567/623/803/809/351/2359/2010/,2359
"Bed nuclus of the stria terminalis, lateral division, posterior part",STLP,2015,/997/8/567/623/803/809/351/2360/2015/,2360
Botzinger complex,Bo,2468,/997/8/343/1065/354/370/2468/,370
Brain stem,BS,343,/997/8/343/,8
Caudal linear nucleus of the raphÈ,CLi,591,/997/8/343/313/348/165/591/,165
Caudate Putamen ,CP,672,/997/8/567/623/477/485/672/,485
Caudomedial entothinal cortex,CEnt,2161,/997/8/567/688/695/1089/822/909/2161/,909
"Caudomedial entothinal cortex, layer 1",CEnt1,2448,/997/8/567/688/695/1089/822/909/2161/2448/,2161
"Caudomedial entothinal cortex, layer 2",CEnt2,2449,/997/8/567/688/695/1089/822/909/2161/2449/,2161
"Caudomedial entothinal cortex, layer 3",CEnt3,2450,/997/8/567/688/695/1089/822/909/2161/2450/,2161
"Caudomedial entothinal cortex, layer 5",CEnt5,2451,/997/8/567/688/695/1089/822/909/2161/2451/,2161
"Caudomedial entothinal cortex, layer 6",CEnt6,2452,/997/8/567/688/695/1089/822/909/2161/2452/,2161
Caudoputamen- caudal,CPc,2496,/997/8/567/623/477/485/672/2496/,672
Caudoputamen- caudal extreme,CPce,2495,/997/8/567/623/477/485/672/2495/,672
"Caudoputamen- caudal, dorsal","CPc, d",2493,/997/8/567/623/477/485/672/2496/2493/,2496
"Caudoputamen- caudal, dorsal, dorsolateral","CPc, d, dl",2485,/997/8/567/623/477/485/672/2496/2493/2485/,2493
"Caudoputamen- caudal, dorsal, dorsomedial","CPc, d, dm",2484,/997/8/567/623/477/485/672/2496/2493/2484/,2493
"Caudoputamen- caudal, dorsal, ventromedial","CPc, d, vm",2486,/997/8/567/623/477/485/672/2496/2493/2486/,2493
"Caudoputamen- caudal, intermediate","CPc, i",2494,/997/8/567/623/477/485/672/2496/2494/,2496
"Caudoputamen- caudal, intermediate, dorsal","CPc, i, d",2487,/997/8/567/623/477/485/672/2496/2494/2487/,2494
"Caudoputamen- caudal, intermediate, ventrolateral","CPc, i, vl",2488,/997/8/567/623/477/485/672/2496/2494/2488/,2494
"Caudoputamen- caudal, intermediate, ventromedial","CPc, i, vm",2489,/997/8/567/623/477/485/672/2496/2494/2489/,2494
"Caudoputamen- caudal, ventral","CPc, v",2490,/997/8/567/623/477/485/672/2496/2490/,2496
Caudoputamen- intermediate,CPi,2492,/997/8/567/623/477/485/672/2492/,672
"Caudoputamen- intermediate, dorsolateral, ","CPi, dl",2499,/997/8/567/623/477/485/672/2492/2499/,2492
"Caudoputamen- intermediate, dorsolateral, dorsal","CPi, dl, d",2300,/997/8/567/623/477/485/672/2492/2499/2300/,2499
"Caudoputamen- intermediate, dorsolateral, intermedial dorsal","CPi, dl, imd",2301,/997/8/567/623/477/485/672/2492/2499/2301/,2499
"Caudoputamen- intermediate, dorsomedial","CPi, dm",2498,/997/8/567/623/477/485/672/2492/2498/,2492
"Caudoputamen- intermediate, dorsomedial, central dorsal","CPi, dm, cd",2374,/997/8/567/623/477/485/672/2492/2498/2374/,2498
"Caudoputamen- intermediate, dorsomedial, dorsal tip ","CPi, dm, dt",2380,/997/8/567/623/477/485/672/2492/2498/2380/,2498
"Caudoputamen- intermediate, dorsomedial, dorsolateral","CPi, dm, dl",2299,/997/8/567/623/477/485/672/2492/2498/2299/,2498
"Caudoputamen- intermediate, dorsomedial, intermedial","CPi, dm, im",2298,/997/8/567/623/477/485/672/2492/2498/2298/,2498
"Caudoputamen- intermediate, ventrolateral","CPi, vl",2501,/997/8/567/623/477/485/672/2492/2501/,2492
"Caudoputamen- intermediate, ventrolateral, central ventrolateral","CPi, vl, cvl",2370,/997/8/567/623/477/485/672/2492/2501/2370/,2501
"Caudoputamen- intermediate, ventrolateral, intermedial ventral","CPi, vl, imv",2479,/997/8/567/623/477/485/672/2492/2501/2479/,2501
"Caudoputamen- intermediate, ventrolateral, ventral","CPi, vl, v",2482,/997/8/567/623/477/485/672/2492/2501/2482/,2501
"Caudoputamen- intermediate, ventrolateral, ventral tip","CPi, vl, vt",2481,/997/8/567/623/477/485/672/2492/2501/2481/,2501
"Caudoputamen- intermediate, ventromedial","CPi, vm",2500,/997/8/567/623/477/485/672/2492/2500/,2492
"Caudoputamen- intermediate, ventromedial, central ventromedial","CPi, vm, cvm",2483,/997/8/567/623/477/485/672/2492/2500/2483/,2500
"Caudoputamen- intermediate, ventromedial, ventral","CPi, vm, v",2480,/997/8/567/623/477/485/672/2492/2500/2480/,2500
"Caudoputamen- intermediate, ventromedial, ventromedial","CPi, vm, vm",2302,/997/8/567/623/477/485/672/2492/2500/2302/,2500
"Caudoputamen- rostra,l lateral, ventromedial","CPr, l, vm",2297,/997/8/567/623/477/485/672/2491/2497/2297/,2497
Caudoputamen- rostral,CPr,2491,/997/8/567/623/477/485/672/2491/,672
Caudoputamen- rostral extreme,CPre,2376,/997/8/567/623/477/485/672/2376/,672
"Caudoputamen- rostral, intermediate, dorsal","CPr, imd",2295,/997/8/567/623/477/485/672/2491/2295/,2491
"Caudoputamen- rostral, intermediate, ventral","CPr, imv",2296,/997/8/567/623/477/485/672/2491/2296/,2491
"Caudoputamen- rostral, lateral","CPr, l",2497,/997/8/567/623/477/485/672/2491/2497/,2491
"Caudoputamen- rostral, lateral, lateral strip","CPr, l, ls",2395,/997/8/567/623/477/485/672/2491/2497/2395/,2497
"Caudoputamen- rostral, medial","CPr, m",2294,/997/8/567/623/477/485/672/2491/2294/,2491
Caudoventrolateral reticular nucleus,CVL,2252,/997/8/343/1065/354/370/2252/,370
Cell bridges of the ventral striatum,CB,2013,/997/8/567/623/803/342/2013/,342
Central amygdalar nucleus,Ce,536,/997/8/567/623/477/278/536/,278
"Central amygdaloid nucleus, capsular part",CeC,544,/997/8/567/623/477/278/536/544/,536
"Central amygdaloid nucleus, lateral part",CeL,551,/997/8/567/623/477/278/536/551/,536
"Central amygdaloid nucleus, medial part",CeM,559,/997/8/567/623/477/278/536/559/,536
Central cervical nucleus of the spinal cord,CeCv,2272,/997/8/343/1065/354/370/2272/,370
Central gray,CG,898,/997/8/343/1065/771/987/898/,987
"Central gray, alpha part",CGA,2215,/997/8/343/1065/771/987/898/2215/,898
"Central gray, beta part",CGB,2216,/997/8/343/1065/771/987/898/2216/,898
"Central gray, gamma part",CGG,2231,/997/8/343/1065/771/987/898/2231/,898
"Central gray, nucleus O",CGO,2221,/997/8/343/1065/771/987/898/2221/,898
Central medial thalamic nucleus,CM,599,/997/8/343/1129/549/856/51/599/,51
Central nucleus of the inferior colliculus,CIC,811,/997/8/343/313/339/4/811/,4
Centrolateral thalamic nucleus,CL,575,/997/8/343/1129/549/856/51/575/,51
Cerebellar cortex,CBX,528,/997/8/512/528/,512
Cerebellar nuclei,CBN,519,/997/8/512/519/,512
Cerebellum,CBL,512,/997/8/512/,8
Cerebral cortex,CTX,688,/997/8/567/688/,567
Cerebral nuclei,CNU,623,/997/8/567/623/,567
Cerebrum,CH,567,/997/8/567/,8
Cingulate cortex,A24 (Cg),31,/997/8/567/688/695/315/31/,315
"Cingulate cortex, area 24a (infralimbic)",A24a (IL),44,/997/8/567/688/695/315/44/,315
"Cingulate cortex, area 24a (infralimbic), layer 1",A24a (IL)-1,707,/997/8/567/688/695/315/44/707/,44
"Cingulate cortex, area 24a (infralimbic), layer 4",A24a (IL)-2/3,556,/997/8/567/688/695/315/44/556/,44
"Cingulate cortex, area 24a (infralimbic), layer 5",A24a (IL)-5,827,/997/8/567/688/695/315/44/827/,44
"Cingulate cortex, area 24a (infralimbic), layer 6a",A24a (IL)-6a,1054,/997/8/567/688/695/315/44/1054/,44
"Cingulate cortex, area 24a (infralimbic), layer 6b",A24a (IL)-6b,1081,/997/8/567/688/695/315/44/1081/,44
"Cingulate cortex, area 24a2",A24a2 (Cg2),48,/997/8/567/688/695/315/31/48/,31
"Cingulate cortex, area 24a2, layer1",A24a2 (Cg2)-1,588,/997/8/567/688/695/315/31/48/588/,48
"Cingulate cortex, area 24a2, layer2/3",A24a2 (Cg2)-2/3,296,/997/8/567/688/695/315/31/48/296/,48
"Cingulate cortex, area 24a2, layer5",A24a2 (Cg2)-5,772,/997/8/567/688/695/315/31/48/772/,48
"Cingulate cortex, area 24a2, layer6a",A24a2 (Cg2)-6a,810,/997/8/567/688/695/315/31/48/810/,48
"Cingulate cortex, area 24a2, layer6b",A24a2 (Cg2)-6b,819,/997/8/567/688/695/315/31/48/819/,48
"Cingulate cortex, area 24b ",A24b (Cg1),2345,/997/8/567/688/695/315/31/2345/,31
"Cingulate cortex, area 24b, layer1",A24b (Cg1)-1,2346,/997/8/567/688/695/315/31/2345/2346/,2345
"Cingulate cortex, area 24b, layer2/3",A24b (Cg1)-2/3,2347,/997/8/567/688/695/315/31/2345/2347/,2345
"Cingulate cortex, area 24b, layer5",A24b (Cg1)-5,2348,/997/8/567/688/695/315/31/2345/2348/,2345
"Cingulate cortex, area 24b, layer6a",A24b (Cg1)-6a,2349,/997/8/567/688/695/315/31/2345/2349/,2345
"Cingulate cortex, area 24b, layer6b",A24b (Cg1)-6b,2350,/997/8/567/688/695/315/31/2345/2350/,2345
"Cingulate cortex, area 24b2",A24b2 (Cg1),39,/997/8/567/688/695/315/31/39/,31
"Cingulate cortex, area 24b2, layer1",A24b2 (Cg1)-1,935,/997/8/567/688/695/315/31/39/935/,39
"Cingulate cortex, area 24b2, layer2/3",A24b2 (Cg1)-2/3,211,/997/8/567/688/695/315/31/39/211/,39
"Cingulate cortex, area 24b2, layer5",A24b2 (Cg1)-5,1015,/997/8/567/688/695/315/31/39/1015/,39
"Cingulate cortex, area 24b2, layer6a",A24b2 (Cg1)-6a,919,/997/8/567/688/695/315/31/39/919/,39
"Cingulate cortex, area 24b2, layer6b",A24b2 (Cg1)-6b,927,/997/8/567/688/695/315/31/39/927/,39
"Cingulate cortex, area 25 (dorsal peduncular cortex)",A25 (DP),814,/997/8/567/688/695/698/814/,698
"Cingulate cortex, area 25 (dorsal peduncular cortex), layer1",A25 (DP)-1,496,/997/8/567/688/695/698/814/496/,814
"Cingulate cortex, area 25 (dorsal peduncular cortex), layer2/3",A25 (DP)-2/3,360,/997/8/567/688/695/698/814/360/,814
"Cingulate cortex, area 25 (dorsal peduncular cortex), layer5",A25 (DP)-5,646,/997/8/567/688/695/698/814/646/,814
"Cingulate cortex, area 25 (dorsal peduncular cortex), layer6a",A25 (DP)-6a,267,/997/8/567/688/695/698/814/267/,814
"Cingulate cortex, area 29 (Retrosplenial granular cortex)",A29 (RSG),886,/997/8/567/688/695/315/254/886/,254
"Cingulate cortex, area 29 and 30 (retrosplenial cortex)",A29-30 (RS),254,/997/8/567/688/695/315/254/,315
"Cingulate cortex, area 29a (Retrosplenial granular cortex a)",A29a (RSGa),2067,/997/8/567/688/695/315/254/886/2067/,886
"Cingulate cortex, area 29a (Retrosplenial granular cortex a), layer1",A29a (RSGa)-1,2421,/997/8/567/688/695/315/254/886/2067/2421/,2067
"Cingulate cortex, area 29a (Retrosplenial granular cortex a), layer2/3",A29a (RSGa)-2/3,2422,/997/8/567/688/695/315/254/886/2067/2422/,2067
"Cingulate cortex, area 29a (Retrosplenial granular cortex a), layer5",A29a (RSGa)-5,2423,/997/8/567/688/695/315/254/886/2067/2423/,2067
"Cingulate cortex, area 29a (Retrosplenial granular cortex a), layer6a",A29a (RSGa)-6a,2424,/997/8/567/688/695/315/254/886/2067/2424/,2067
"Cingulate cortex, area 29a (Retrosplenial granular cortex a), layer6b",A29a (RSGa)-6b,2425,/997/8/567/688/695/315/254/886/2067/2425/,2067
"Cingulate cortex, area 29b (Retrosplenial granular cortex b)",A29b (RSGb),2066,/997/8/567/688/695/315/254/886/2066/,886
"Cingulate cortex, area 29b (Retrosplenial granular cortex b), layer1",A29b (RSGb)-1,2416,/997/8/567/688/695/315/254/886/2066/2416/,2066
"Cingulate cortex, area 29b (Retrosplenial granular cortex b), layer2/3",A29b (RSGb)-2/3,2417,/997/8/567/688/695/315/254/886/2066/2417/,2066
"Cingulate cortex, area 29b (Retrosplenial granular cortex b), layer5",A29b (RSGb)-5,2418,/997/8/567/688/695/315/254/886/2066/2418/,2066
"Cingulate cortex, area 29b (Retrosplenial granular cortex b), layer6a",A29b (RSGb)-6a,2419,/997/8/567/688/695/315/254/886/2066/2419/,2066
"Cingulate cortex, area 29b (Retrosplenial granular cortex b), layer6b",A29b (RSGb)-6b,2420,/997/8/567/688/695/315/254/886/2066/2420/,2066
"Cingulate cortex, area 29c (Retrosplenial granular cortex c)",A29c (RSGc),2132,/997/8/567/688/695/315/254/886/2132/,886
"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer1",A29c (RSGc)-1,542,/997/8/567/688/695/315/254/886/2132/542/,2132
"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer2/3",A29c (RSGc)-2/3,430,/997/8/567/688/695/315/254/886/2132/430/,2132
"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer5",A29c (RSGc)-5,687,/997/8/567/688/695/315/254/886/2132/687/,2132
"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer6a",A29c (RSGc)-6a,590,/997/8/567/688/695/315/254/886/2132/590/,2132
"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer6b",A29c (RSGc)-6b,622,/997/8/567/688/695/315/254/886/2132/622/,2132
"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex)",A30 (RSD),879,/997/8/567/688/695/315/254/879/,254
"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer1",A30 (RSD)-1,442,/997/8/567/688/695/315/254/879/442/,879
"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer2/3",A30 (RSD)-2/3,434,/997/8/567/688/695/315/254/879/434/,879
"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer4",A30 (RSD)-4,545,/997/8/567/688/695/315/254/879/545/,879
"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer5",A30 (RSD)-5,610,/997/8/567/688/695/315/254/879/610/,879
"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer6a",A30 (RSD)-6a,274,/997/8/567/688/695/315/254/879/274/,879
"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer6b",A30 (RSD)-6b,330,/997/8/567/688/695/315/254/879/330/,879
"Cingulate cortex, area 32 (Prelimbic cortex)",A32 (PrL),972,/997/8/567/688/695/315/972/,315
"Cingulate cortex, area 32 (Prelimbic cortex), layer1",A32 (PrL)-1,171,/997/8/567/688/695/315/972/171/,972
"Cingulate cortex, area 32 (Prelimbic cortex), layer2/3",A32 (PrL)-2/3,304,/997/8/567/688/695/315/972/304/,972
"Cingulate cortex, area 32 (Prelimbic cortex), layer5",A32 (PrL)-5,363,/997/8/567/688/695/315/972/363/,972
"Cingulate cortex, area 32 (Prelimbic cortex), layer6a",A32 (PrL)-6a,84,/997/8/567/688/695/315/972/84/,972
Circulur nucleus,Cir,432,/997/8/343/1129/1097/157/332/432/,332
Claustrum,Cl,583,/997/8/567/688/703/583/,703
Cochlear nuclei,CN,607,/997/8/343/1065/354/386/607/,386
Commissural nucleus of the inferior colliculus,Com,2457,/997/8/343/313/339/4/2457/,4
Copula of the pyramis,Cop,1033,/997/8/512/528/1073/1033/,1073
"Copula of the pyramis, granular layer",Cop-gr,10684,/997/8/512/528/1073/1033/10684/,1033
"Copula of the pyramis, molecular layer",Cop-mo,10686,/997/8/512/528/1073/1033/10686/,1033
Cortex-amygdala transition zone,CxA,2024,/997/8/567/688/695/698/961/2024/,961
Cortex-amygdala transition zone Layer1,CxA1,2303,/997/8/567/688/695/698/961/2024/2303/,2024
Cortex-amygdala transition zone Layer2,CxA2,2304,/997/8/567/688/695/698/961/2024/2304/,2024
Cortex-amygdala transition zone Layer3,CxA3,2305,/997/8/567/688/695/698/961/2024/2305/,2024
Cortical plate,CTXpl,695,/997/8/567/688/695/,688
Cortical subplate,CTXsp,703,/997/8/567/688/703/,688
Crus 1 of the ansiform lobule,Crus1,1056,/997/8/512/528/1073/1056/,1073
"Crus 1 of the ansiform lobule, granular layer",Crus1-gr,10675,/997/8/512/528/1073/1056/10675/,1056
"Crus 1 of the ansiform lobule, molecular layer",Crus1-mo,10677,/997/8/512/528/1073/1056/10677/,1056
Crus 2 of the ansiform lobule,Crus2,1064,/997/8/512/528/1073/1064/,1073
"Crus 2 of the ansiform lobule, granular layer",Crus2-gr,10678,/997/8/512/528/1073/1064/10678/,1064
"Crus 2 of the ansiform lobule, molecular layer",Crus2-mo,10680,/997/8/512/528/1073/1064/10680/,1064
Culmen,CUL,928,/997/8/512/528/645/928/,645
Cuneate nucleus,Cu,711,/997/8/343/1065/354/386/720/711/,720
"Cuneate nucleus, dorsal part",CuD,2285,/997/8/343/1065/354/386/720/711/2285/,711
"Cuneate nucleus, rotundus part",CuR,2278,/997/8/343/1065/354/386/720/711/2278/,711
Cuneiform nucleus,CnF,616,/997/8/343/313/323/616/,323
DA11 dopamine cells,DA11,2101,/997/8/343/313/323/2101/,323
DA13 dopamine cells,DA13,796,/997/8/343/1129/1097/290/797/796/,797
Deep gray layer of the superior colliculus,DpG,26,/997/8/343/313/339/2476/294/26/,294
Deep white layer of the superior colliculus,DpWh,42,/997/8/343/313/339/2476/294/42/,294
Dentate gyrus,DG,726,/997/8/567/688/695/1089/1080/726/,1080
